"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H1975","Input","alpha amino acids",0.30803,1.07,0.368,39,0.365,"homocysteine, creatinine, dimethylglycine, phosphocreatine, ornithine",0.434152181326482,0.437707135543525,FALSE
"H1975","Input","acyl carnitines",-0.41428,-1.44,0.0909,125,0.0932,"heptanoylcarnitine, hexanoylcarnitine, malonylcarnitine, stearoylcarnitine, myristoylcarnitine, palmitoylcarnitine",1.04143611677803,1.03058408764602,FALSE
"HCC78","Input","alpha amino acids",-0.28078,-1,0.435,103,0.891,"phosphocreatine, citrulline, dimethylglycine, creatinine, homocysteine, betaine, creatine, ornithine, acetylglycine",0.361510743045363,0.0501222959631252,FALSE
"HCC78","Input","acyl carnitines",-0.27409,-0.976,0.471,126,0.474,"hexanoylcarnitine, myristoylcarnitine, palmitoylcarnitine, stearoylcarnitine, heptanoylcarnitine",0.326979092871104,0.324221658325915,FALSE
"H2126","Input","alpha amino acids",-0.28519,-1.01,0.415,104,0.417,"betaine, phosphocreatine, homocysteine, sarcosine, creatine, creatinine, dimethylglycine, citrulline, ornithine",0.381951903287907,0.379863945026242,FALSE
"H2126","Input","acyl carnitines",-0.50072,-1.79,0.0204,178,0.0494,"heptanoylcarnitine, myristoylcarnitine, propionylcarnitine, palmitoylcarnitine, stearoylcarnitine",1.6903698325741,1.30627305107635,TRUE
"HCC827","Input","alpha amino acids",0.26472,0.941,0.498,149,0.51,"ornithine, phosphocreatine, sarcosine, dimethylglycine, creatinine, glycine, creatine, homocysteine, betaine, citrulline",0.302770657240282,0.292429823902064,FALSE
"HCC827","Input","acyl carnitines",-0.15596,-0.563,0.929,34,0.945,"malonylcarnitine, heptanoylcarnitine, propionylcarnitine, hexanoylcarnitine, myristoylcarnitine, stearoylcarnitine, palmitoylcarnitine",0.0319842860063582,0.0245681914907371,FALSE
"CALU3","Input","alpha amino acids",-0.44662,-1.61,0.0475,163,0.0506,"sarcosine, creatine, dimethylglycine, betaine, citrulline, creatinine, glycine, phosphocreatine",1.32330639037513,1.2958494831602,TRUE
"CALU3","Input","acyl carnitines",0.34173,1.17,0.256,62,0.263,"palmitoylcarnitine, myristoylcarnitine, hexanoylcarnitine, stearoylcarnitine",0.59176003468815,0.580044251510242,FALSE
"H2009","Input","alpha amino acids",-0.30219,-1.05,0.403,150,0.795,"betaine, ornithine, creatinine, citrulline, sarcosine, dimethylglycine, homocysteine",0.39469495385889,0.0996328713435297,FALSE
"H2009","Input","acyl carnitines",-0.23817,-0.843,0.622,87,0.637,"stearoylcarnitine, palmitoylcarnitine, heptanoylcarnitine, myristoylcarnitine, propionylcarnitine, hexanoylcarnitine",0.206209615309181,0.19586056766465,FALSE
"HCC4006","Input","alpha amino acids",0.24766,0.856,0.594,172,0.592,"sarcosine, glycine, betaine, creatine, acetylglycine, ornithine, phosphocreatine, creatinine, homocysteine, citrulline, dimethylglycine",0.226213555018806,0.22767829327708,FALSE
"HCC4006","Input","acyl carnitines",-0.30744,-1.12,0.282,100,0.3,"stearoylcarnitine, hexanoylcarnitine, propionylcarnitine, malonylcarnitine, palmitoylcarnitine, heptanoylcarnitine",0.549750891680639,0.522878745280338,FALSE
"HCC2279","Input","alpha amino acids",-0.23263,-0.847,0.609,136,0.63,"betaine, creatinine, acetylglycine, glycine, creatine, sarcosine, phosphocreatine",0.215382707367125,0.200659450546418,FALSE
"HCC2279","Input","acyl carnitines",0.55124,1.88,0.0146,75,0.0143,"stearoylcarnitine, palmitoylcarnitine, myristoylcarnitine, propionylcarnitine, malonylcarnitine, hexanoylcarnitine",1.83564714421556,1.84466396253494,TRUE
"H520","Input","alpha amino acids",0.55543,1.96,0.00916,69,0.0145,"homocysteine, phosphocreatine, sarcosine, betaine, creatinine, ornithine, dimethylglycine, creatine, glycine",2.03810452633215,1.83863199776503,TRUE
"H520","Input","acyl carnitines",0.37677,1.34,0.16,115,0.152,"hexanoylcarnitine, malonylcarnitine, myristoylcarnitine, propionylcarnitine, heptanoylcarnitine, palmitoylcarnitine",0.795880017344075,0.818156412055227,FALSE
"HCC15","Input","alpha amino acids",-0.19164,-0.689,0.825,64,0.828,"ornithine, creatinine, dimethylglycine, acetylglycine, sarcosine, betaine, citrulline, glycine, creatine, phosphocreatine",0.0835460514500749,0.0819696632151199,FALSE
"HCC15","Input","acyl carnitines",0.37551,1.32,0.156,112,0.161,"myristoylcarnitine, palmitoylcarnitine, hexanoylcarnitine, stearoylcarnitine, malonylcarnitine, propionylcarnitine",0.806875401645538,0.79317412396815,FALSE
"H460","Input","alpha amino acids",0.33725,1.17,0.255,134,0.271,"homocysteine, phosphocreatine, sarcosine, creatine, dimethylglycine, creatinine, citrulline, ornithine, glycine, betaine",0.593459819566045,0.567030709125594,FALSE
"H460","Input","acyl carnitines",-0.46083,-1.68,0.0486,208,0.0435,"myristoylcarnitine, heptanoylcarnitine, palmitoylcarnitine, stearoylcarnitine",1.31336373073771,1.36151074304536,TRUE
"A549","Input","alpha amino acids",0.14945,0.524,0.976,74,0.977,"ornithine, glycine, citrulline, sarcosine, homocysteine",0.0105501823333082,0.0101054362812269,FALSE
"A549","Input","acyl carnitines",0.42635,1.51,0.0624,39,0.148,"propionylcarnitine, malonylcarnitine, hexanoylcarnitine, stearoylcarnitine",1.20481541031758,0.829738284605043,FALSE
"HCC44","Input","alpha amino acids",0.44653,1.57,0.0694,111,0.0644,"homocysteine, phosphocreatine, creatinine, sarcosine, dimethylglycine, ornithine, creatine, glycine, betaine, citrulline",1.15864052954514,1.19111413264019,FALSE
"HCC44","Input","acyl carnitines",-0.26991,-0.97,0.465,192,0.455,"myristoylcarnitine, stearoylcarnitine, palmitoylcarnitine",0.332547047110046,0.341988603342888,FALSE
"H1703","Input","alpha amino acids",-0.16231,-0.573,0.942,182,0.943,"dimethylglycine, ornithine, betaine, sarcosine",0.0259490972071227,0.0254883072626717,FALSE
"H1703","Input","acyl carnitines",0.32084,1.13,0.302,124,0.296,"propionylcarnitine, hexanoylcarnitine, palmitoylcarnitine, myristoylcarnitine, malonylcarnitine, stearoylcarnitine",0.519993057042849,0.528708288941061,FALSE
"H1299","Input","alpha amino acids",0.29166,1.02,0.425,143,0.425,"homocysteine, sarcosine, citrulline, phosphocreatine, glycine, ornithine, creatinine, dimethylglycine, acetylglycine, betaine",0.371611069949688,0.371611069949688,FALSE
"H1299","Input","acyl carnitines",-0.44634,-1.58,0.0767,200,0.0613,"myristoylcarnitine, stearoylcarnitine, palmitoylcarnitine, heptanoylcarnitine",1.11520463605102,1.21253952548158,FALSE
