"Gene","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"A1BG",0.0442044371558802,0.195464302841883,0.0925379531961643,0.927958221190711,1,-6.12569058225904,FALSE
"A1CF",-0.0368743934267065,-0.268696418193563,-0.729220158641468,0.48132209347656,0.849514825307587,-5.86010737972675,FALSE
"A2M",0.255486306697117,-0.347089921354183,1.27198846786958,0.229980133344609,0.723341530446015,-5.34745692050419,FALSE
"A2ML1",1.62638750965744,0.299587846417026,2.01065147656596,0.0698948372054096,0.534304093533033,-4.35533203724338,FALSE
"A3GALT2",-0.0110137066532079,-0.155950762927604,-0.0414607418537022,0.967682173699352,1,-6.12925305968136,FALSE
"A4GALT",0.656857481320831,0.425030020462622,3.97683240435418,0.00223184051641165,0.166208591817379,-1.19121468942554,FALSE
"A4GNT",-0.0370662611898225,-0.135974478213009,-0.178237961008022,0.861822421355547,1,-6.11362949648559,FALSE
"AAAS",-0.19227382890822,0.376300935907058,-0.37893018632143,0.712054713054812,0.94585929110937,-6.05588641269391,FALSE
"AACS",0.16025926485389,0.0168477059699164,0.399977876653314,0.696939491495785,0.939686070722081,-6.04747224495414,FALSE
"AADAC",-0.732869494402669,0.290984717130839,-1.33270134534387,0.209957115950931,0.709079209475629,-5.27676161281039,FALSE
"AADACL2",-0.0186289806195986,-0.145895997602415,-0.407605615460756,0.691495052903715,0.937723841260856,-6.04431406024108,FALSE
"AADACL3",0.00487439288115789,-0.0878378703997804,0.108744935288058,0.915391069877422,1,-6.12399342641798,FALSE
"AADACL4",0.0260882829621461,-0.157893583788968,0.575026136007892,0.577010337265377,0.89434360476466,-5.96064800969012,FALSE
"AADAT",0.203235685542336,0.0130567837328954,0.422019362810244,0.68125682486923,0.933924256451784,-6.0381885976383,FALSE
"AAGAB",0.0470446001671521,0.234198760595161,0.0993695579384877,0.922658170649426,1,-6.12500845050091,FALSE
"AAK1",0.612713277400149,0.0242747717606003,1.14365502504529,0.277387487637797,0.746220759606691,-5.48882781088079,FALSE
"AAMDC",0.114737019591398,-0.306807246527886,0.189875417922723,0.852914542312284,0.999192069924063,-6.1114058776662,FALSE
"AAMP",0.256984664500087,0.0710995811959329,0.383734517444366,0.708592814935461,0.944431829240468,-6.05400471289974,FALSE
"AANAT",0.243377332434891,0.0304313952081633,1.17419309840499,0.265461902611264,0.739930978565583,-5.45621757483801,FALSE
"AAR2",0.531140499849498,0.323331301893917,1.05720296442198,0.313403810624711,0.772262114037115,-5.57748643225299,FALSE
"AARD",-0.155120769978058,0.404087110010794,-0.150884891821935,0.882836870458027,1,-6.11830536677298,FALSE
"AARS",0.102921529313332,0.405043438226038,0.241434295669767,0.813723344407922,0.986868056541427,-6.09987772563906,FALSE
"AARS2",0.101017370606448,-0.125503910122214,0.242498243235856,0.812919795068654,0.986868056541427,-6.09961110282805,FALSE
"AARSD1",0.219208768260254,0.342396514186702,0.620133660810473,0.547980949458047,0.879854722962127,-5.93351117681756,FALSE
"AASDH",0.88457575361953,-0.244313492007423,2.5901179575555,0.0253927484802804,0.387030540672624,-3.44583076460659,FALSE
"AASDHPPT",0.215255425106052,0.236202095171948,0.624414198294899,0.545269500584851,0.878637894239214,-5.93083699264312,FALSE
"AASS",-0.265894934492955,-0.71099764069805,-0.574357841168977,0.577446598675657,0.894601490258839,-5.9610356497556,FALSE
"AATF",0.0574246171129282,0.512003899595521,0.0894225392784594,0.93037643158453,1,-6.12598555762397,FALSE
"AATK",0.543970545151165,-0.419775245289893,2.59893375559111,0.0249989636699475,0.386233748058629,-3.43154455190189,FALSE
"ABAT",0.965217803769153,-0.451509639918032,2.6072416566762,0.0246333818570007,0.386233748058629,-3.41807358043963,FALSE
"ABCA1",0.590269378610646,0.00488566228874739,1.29307402826251,0.222856350220071,0.716160704398147,-5.32317220169469,FALSE
"ABCA10",-0.117510427550408,-0.38598198370572,-0.74962380079609,0.469433349617514,0.842090635041971,-5.84518334475818,FALSE
"ABCA12",1.30872585275672,-0.0177648619074162,2.96766848393911,0.0129840460434373,0.306009385302069,-2.82860433146953,FALSE
"ABCA13",0.883216686541826,-0.225974216771738,3.13073441746803,0.00972271615792217,0.280257659870363,-2.56051025071793,FALSE
"ABCA2",0.547027521169454,-0.169763123199688,1.57382074318786,0.144233393877814,0.651796606858193,-4.97431518947008,FALSE
"ABCA3",-0.879038612257558,0.237435207351247,-2.43996043514525,0.0331163770438051,0.422488038507449,-3.68765559595955,FALSE
"ABCA4",0.459526435656174,-0.28190461704477,1.57891834134153,0.14306211526267,0.65132138660262,-4.96757790735456,FALSE
"ABCA5",0.411673190090706,-0.267274957411289,0.814368950553787,0.432955100284358,0.825357099404925,-5.79540041734206,FALSE
"ABCA6",-0.00220170505922418,-0.377221689277404,-0.0425171228130763,0.966859280689437,1,-6.12920686932885,FALSE
"ABCA7",0.151936356264624,0.402629674943305,0.334113195725637,0.74466686328144,0.960788351203532,-6.07232559806865,FALSE
"ABCA8",-0.495751732312338,-0.0670513880831202,-1.17597763131104,0.264777666468591,0.739207936307396,-5.45429161693867,FALSE
"ABCA9",0.100055495385487,-0.282548554939461,1.51040952743373,0.159517915356405,0.668092892881681,-5.05699682154195,FALSE
"ABCB1",-0.346477809598471,-0.375957311918228,-1.19600487792076,0.257193720461768,0.733077032440286,-5.43252499995083,FALSE
"ABCB10",-0.959612907738325,0.307867454399871,-1.6098286665978,0.136136935941784,0.643239344865861,-4.92644516890377,FALSE
"ABCB11",0.511148429118685,-0.133267057839061,2.48680735126411,0.0304877753962344,0.413544603780475,-3.61254316267245,FALSE
"ABCB4",-0.133575931705352,-0.37320700988769,-0.679542860559494,0.511040047998364,0.86461407237639,-5.894881799324,FALSE
"ABCB5",0.00997487667453234,-0.274025532130435,0.228553933474875,0.823468796172404,0.989596912698165,-6.10301349622526,FALSE
"ABCB6",0.293450488279917,0.115203069759878,0.432235860728395,0.674040236328778,0.931760069184758,-6.03372234756471,FALSE
"ABCB7",-0.724189458839204,0.441949993066887,-1.67655439563068,0.122188320031865,0.622704262434391,-4.83606664777167,FALSE
"ABCB8",1.07068891045229,0.388072686010899,2.21110366219256,0.0494613532854078,0.479492430449086,-4.04896271070333,FALSE
"ABCB9",1.0635361799419,-0.0493987482561938,1.99900518695553,0.0712984822859822,0.537085256195272,-4.37277370744222,FALSE
"ABCC1",0.208401538611298,0.367163666219496,0.344216793422579,0.737266104803572,0.956738815026894,-6.06879572667249,FALSE
"ABCC10",0.506484125279851,-0.161568031524616,1.17971672125628,0.263348506984818,0.737341076975919,-5.45024897982278,FALSE
"ABCC11",0.316318841208475,0.0113145097428738,1.70341507434643,0.116942608404868,0.616861769038209,-4.79909683523666,FALSE
"ABCC12",0.0349256546710053,-0.103985966792444,0.370279778607082,0.718305109252868,0.947837391626843,-6.05921633300207,FALSE
"ABCC2",-0.387261134841571,0.920002764774778,-0.478798153583316,0.641591586213793,0.920274327005272,-6.01206680114863,FALSE
"ABCC3",0.742666298930958,0.411106488579528,1.28368900708698,0.226004535569857,0.719516325721209,-5.3340167606373,FALSE
"ABCC4",-0.6645072022676,0.104540965392482,-2.04004293880114,0.0664667571281051,0.525802350604234,-4.31112620360455,FALSE
"ABCC5",0.417151229851347,0.229066865552914,0.511746793859698,0.619088880807876,0.911545400895067,-5.99546444887189,FALSE
"ABCC6",0.255574325878178,-0.174061667054973,0.667568189447617,0.518364805611656,0.867076230222811,-5.90292931152696,FALSE
"ABCC8",-0.22540753553419,-0.109887819004129,-0.851334397483244,0.412990206854883,0.818230960315537,-5.76535324872415,FALSE
"ABCC9",-0.296438796445131,-0.0399839375468601,-0.553803548424861,0.5909504946713,0.901234659856903,-5.97275105776591,FALSE
"ABCD1",0.755343255356197,0.148602218215335,1.5749709556233,0.143968377789287,0.65155041399972,-4.97279615587929,FALSE
"ABCD2",-0.430754228402689,-0.0206439015602794,-1.2161176730381,0.249751756549968,0.72905916556736,-5.41038678773323,FALSE
"ABCD3",-0.380885939399831,-0.391000791772778,-1.11516621080372,0.28888496329251,0.755505253279085,-5.51864885836243,FALSE
"ABCD4",0.49797174816527,-0.248470554813009,1.00159135579509,0.338368785855025,0.786304215281539,-5.63155342821752,FALSE
"ABCE1",-0.27019414878623,-0.0349287721047099,-0.672650810598678,0.515248265727121,0.865912337383776,-5.89952956985766,FALSE
"ABCF1",-0.273024496326467,0.141540211641615,-0.759603752896167,0.463686376901333,0.838334343468117,-5.83774912010472,FALSE
"ABCF2",0.00530923835184982,0.611786797941666,0.0200701430229478,0.984351973478686,1,-6.12993840811686,FALSE
"ABCF3",1.23922397715539,0.37844693825651,1.82941370342104,0.0949426629364848,0.583468159573334,-4.6214986388476,FALSE
"ABCG1",0.314257392366955,0.435497282623362,0.456759382237214,0.656858125794868,0.926261125241327,-6.02258180004584,FALSE
"ABCG2",0.282542125573045,0.913892265225266,0.305125454629855,0.76604774419213,0.96936420810779,-6.08188093916433,FALSE
"ABCG4",-0.073789463373397,-0.214159245194054,-0.284544589436715,0.781353769944214,0.97577266875072,-6.08814821388966,FALSE
"ABCG5",0.00585348380542194,-0.198635820284888,0.115886739904528,0.909860654456264,1,-6.12315899663987,FALSE
