"Gene","Log2FC"
"ADCK2",-0.150755420324824
"ADCK5",0.0449722378581359
"ADCY10",-0.476137313197103
"ADCY3",-0.310626678356829
"ADCY5",0.218759164566519
"ADCY6",-0.911401053076465
"ADCY7",NA
"ADCY8",-0.310626678356829
"ADCY9",0.248869768285169
"ADD1",-0.318518529931598
"ADD2",-3.04220181552668
"ADD3",0.43708132456842
"ADGRA3",0.363189436872014
"ADGRB1",NA
"ADGRD1",NA
"ADGRE2",-0.324213248246722
"ADGRE5",-0.283404718722888
"ADGRF1",3.09276047461298
"ADGRF5",NA
"ADGRG1",1.65822358525816
"ADGRG2",-2.50450667701542
"ADGRG6",-1.06955381472029
"ADGRL1",-0.709114335129037
"ADGRL2",-1.79953516790555
"ADGRL3",0.926106031078595
"ADGRV1",-0.414181967738658
"ADH1C",0.527932473224747
"ADH4",1.50712923286557
"ADH5",0.0768532991040506
"ADH6",NA
"ADH7",1.50712923286557
"ADI1",-0.0895815440907339
"ADIPOR1",-0.54374867222475
"ADIPOR2",-0.531928651763814
"ADIRF",1.30876684894151
"ADK",0.332313954928112
"ADM",NA
"ADNP",0.295141302476196
"ADNP2",-0.27816403512992
"ADO",-0.62725258386101
"ADPGK",0.0216175930710779
"ADPRH",-0.105646977450071
"ADPRHL2",0.153167101074949
"ADRA2A",NA
"ADRM1",-0.314479303585131
"ADSL",0.326544355330072
"ADSS",0.469688871845704
"ADSSL1",0.519666617770166
"AEBP1",-0.107108029186914
"AEBP2",0.52742700801143
"AES",0.615070384352817
"AFAP1",0.306813334947368
"AFAP1L1",-0.367271708692548
"AFAP1L2",-0.380114097183769
"AFDN",-0.00845788195695946
"AFF1",0.603571678552875
"AFF3",0.891511855502483
"AFF4",-0.336593614707895
"AFG1L",-1.16323653987508
"AFG3L2",-0.0412803426864451
"AFMID",0.77542387197446
"AFP",0.0105562297604783
"AFTPH",0.372446387776018
"AGA",-0.351402128150118
"AGAP1",0.636421385083866
"AGAP2",0.604012573983649
"AGAP3",0.493256570856314
"AGFG1",-0.283763854104613
"AGFG2",0.653519593463076
"AGGF1",0.294914957262634
"AGK",0.063050221180375
"AGL",0.346037956859614
"AGMAT",0.166706484341452
"AGMO",NA
"AGO1",0.653687202773746
"AGO2",-0.194794067261324
"AGO3",0.00678333536850452
"AGO4",0.107183902936462
"AGPAT1",-0.252945749000365
"AGPAT2",-0.0897548027678649
"AGPAT3",-0.481677226139445
"AGPAT4",-0.726023516111882
"AGPAT5",-0.563004693758607
"AGPS",0.0216091291521923
"AGR2",2.30621077736822
"AGR3",1.30676459788367
"AGRN",0.601112879010259
"AGT",-0.418678993567743
"AGTPBP1",0.0261685457302832
"AGTRAP",-0.182778682928436
"AGXT",-0.418678993567743
"AHCTF1",-0.196779838343166
"AHCY",-0.00442407025535871
"AHCYL1",-0.0723826193271577
"AHCYL2",0.00961205067617561
"AHDC1",1.02050006005684
"AHNAK",0.894511734349016
"AHNAK2",0.744305044326653
"AHR",1.2310813054378
"AHRR",0.836005517202888
"AHSA1",-0.0419176253588261
"AHSG",-0.456925863937345
"AHSP",NA
"AIDA",0.0725901553531322
"AIF1",0.0747597547347351
"AIF1L",1.25643456989352
"AIFM1",-0.330313510887549
"AIFM2",-1.03767790576716
"AIMP1",-0.0565019698210547
"AIMP2",-0.0571778775107471
"AIP",0.11179750446662
"AJUBA",0.522304520112923
"AK1",0.0942566774274668
"AK2",-0.12118449095471
"AK3",-0.202914503491574
"AK4",0.0367011271977162
"AK5",-0.323984523800283
"AK6",-0.457642300448715
"AK8",-0.355195457436759
"AKAP1",0.302765915584819
"AKAP10",-0.0773663069072975
"AKAP11",0.480312900658534
"AKAP12",-1.55995136194951
"AKAP13",0.221738653433265
"AKAP17A",-0.496572088520975
"AKAP2",0.197327410466785
"AKAP4",-0.906781198432423
"AKAP5",NA
"AKAP6",-0.112402826939726
"AKAP7",1.03135963336616
"AKAP8",-0.119935282480923
"AKAP8L",-0.138380556747774
"AKAP9",0.203015777802233
"AKIP1",-0.410622333215964
"AKIRIN1",0.311356250359589
"AKIRIN2",0.618703817240961
"AKNA",-0.134739667842119
"AKR1A1",-0.410485419046497
"AKR1B1",-0.110823748518988
"AKR1B10",-0.214923494796043
"AKR1B15",-0.612045769886713
"AKR1C1",-1.20143924515713
"AKR1C2",-1.41917123789367
"AKR1C3",-1.2959374662176
"AKR1C4",NA
"AKR1D1",-0.922637125448952
"AKR7A2",-0.0321176753006398
"AKR7A3",0.638817108100675
"AKT1",0.128842636161931
"AKT1S1",0.162938472099441
"AKT2",-0.091432355102828
"AKT3",-0.302171285063087
"AKTIP",0.776012367089816
"ALAD",0.622853215317763
"ALAS1",-0.494912056647783
"ALCAM",0.610004952539566
"ALDH16A1",-0.18758538262074
"ALDH18A1",0.311640045876458
"ALDH1A1",-2.63112605521762
"ALDH1A2",-1.06495710011056
"ALDH1A3",0.94996102817922
"ALDH1B1",-0.25062080643564
"ALDH1L1",-0.616178174050499
"ALDH1L2",-1.27292755726412
"ALDH2",-0.906065410715984
"ALDH3A1",-2.31569009700555
"ALDH3A2",-0.416695837930283
"ALDH3B1",0.688865912200207
"ALDH4A1",-0.0256475201531057
"ALDH5A1",-0.18997162452639
"ALDH6A1",0.86680984144085
"ALDH7A1",-1.06140477834354
"ALDH8A1",NA
"ALDH9A1",-0.22849978222384
"ALDOA",0.247752484659442
"ALDOB",2.56083611360952
"ALDOC",1.65711197325724
"ALG1",-0.12767568678034
"ALG10",0.0449184765244984
"ALG10B",0.0449184765244984
"ALG11",-0.213888627315646
"ALG12",0.211406784836275
"ALG13",0.28609330757994
"ALG14",-0.243698227550955
"ALG2",0.0795231045853227
"ALG3",-0.118574970192001
"ALG5",-0.290133768739524
"ALG6",0.229374099191078
"ALG8",0.0513089002415105
"ALG9",-0.0558486311245582
"ALK",NA
"ALKBH1",0.00622737842485499
"ALKBH2",-0.74243626283485
"ALKBH3",0.360095951458242
"ALKBH4",-0.0221224193673276
"ALKBH5",-0.0827032360102258
"ALKBH6",0.209591681607792
"ALKBH7",-0.00200345360983009
"ALKBH8",-0.102887542308142
"ALMS1",0.62737906918696
"ALOX15",NA
"ALOX5",0.83762334089195
"ALOX5AP",3.73199226736772
"ALPG",0.59097575510628
"ALPI",1.66299254386663
"ALPK1",NA
"ALPK2",-0.0195545202587949
"ALPK3",0.133886515867895
"ALPL",-1.77073477479673
"ALPP",1.66299254386663
"ALS2",-0.192282457583156
"ALS2CL",0.688355339301612
"ALX1",0.670411382643144
"ALX4",NA
"ALYREF",-0.261265836977542
"AMACR",0.695138369792004
"AMBP",-0.304530084518849
"AMBRA1",0.0956177602208018
"AMD1",-1.25758319098358
"AMDHD1",NA
"AMDHD2",-0.0103386893970843
"AMER1",0.534367975082814
"AMER2",NA
"AMFR",0.258456371964661
"AMH",0.412985512619292
"AMIGO2",0.876619982222976
"AMMECR1",0.324872113679778
"AMMECR1L",0.707708322165561
"AMN",-0.11216023609376
"AMN1",-0.812479873830018
"AMOT",-0.654261286582718
"AMOTL1",0.434068984135162
"AMOTL2",0.18483529563165
"AMPD1",0.434163655109167
"AMPD2",-0.00791460632542873
"AMPD3",0.525935597688951
"AMPH",1.15608444241449
"AMT",NA
"AMZ2",0.121024223436512
"ANAPC1",-0.197790618366122
"ANAPC10",-0.436857891413947
"ANAPC11",0.856312817547171
"ANAPC16",-0.00873621835496297
"ANAPC2",-0.193967355369017
"ANAPC4",-0.148852323566608
"ANAPC5",-0.144410803556963
"ANAPC7",-0.284942441098719
"ANG",NA
"ANGEL1",0.401855437126659
"ANGEL2",-0.54728337681165
"ANGPT1",NA
"ANGPT2",NA
"ANGPTL2",-0.769590970440203
"ANGPTL3",-0.450748737532846
"ANGPTL4",-1.99840642614675
"ANK1",-0.319158218112057
"ANK2",-1.4515491457277
"ANK3",1.38893512506172
"ANKEF1",NA
"ANKFY1",-0.176479448239763
"ANKH",-0.259819774077337
"ANKHD1",-0.288496794867972
"ANKIB1",0.209596611881278
"ANKK1",-0.653748416261277
"ANKLE1",0.907169328942781
"ANKLE2",-0.00252001485713957
"ANKMY2",0.11525270484353
"ANKRA2",NA
"ANKRD10",0.787650416163879
"ANKRD11",0.0710688944962314
"ANKRD12",0.415880751227097
"ANKRD13A",0.690498943888262
"ANKRD13B",NA
"ANKRD13C",NA
"ANKRD13D",0.604172934703992
"ANKRD16",-1.15671357041234
"ANKRD17",0.335332098831402
"ANKRD18B",0.492114153854493
"ANKRD2",-1.74727897549269
"ANKRD20A1",-0.704722356741746
"ANKRD22",2.92914559739596
"ANKRD24",0.258886896510071
"ANKRD26",-0.463543144957607
"ANKRD27",-0.267691204214341
"ANKRD28",-0.180658372998446
"ANKRD30A",0.196957535714915
"ANKRD31",0.222665425311172
"ANKRD33",0.0510410146652349
"ANKRD35",0.0633053690489858
"ANKRD36",0.36255537309324
"ANKRD36C",NA
"ANKRD39",-1.60018169871123
"ANKRD40",0.696594495805992
"ANKRD44",-0.702414285754752
"ANKRD46",-0.264706150751803
"ANKRD49",NA
"ANKRD50",0.374579913743717
"ANKRD52",0.0510410146652349
"ANKRD54",-0.154375372640817
"ANKS1A",0.394492419444932
"ANKS1B",0.0725901553531322
"ANKS3",-0.0201710833386974
"ANKS4B",1.04083636275216
"ANKS6",-0.418092805105978
"ANKZF1",0.32980076123094
"ANLN",0.710464436972258
"ANO1",0.305509597897644
"ANO10",-0.201783910766593
"ANO2",0.319882985388317
"ANO6",-0.124226974199283
"ANO8",0.129106977107598
"ANO9",NA
"ANOS1",NA
"ANP32A",-0.403404760148224
"ANP32B",-0.285293699292425
"ANP32E",-0.180549974536338
"ANPEP",0.361308891938008
"ANTXR1",-0.789893258652688
"ANTXR2",0.593840638174245
"ANXA1",-0.164195245549404
"ANXA10",-2.03812052558234
"ANXA11",0.101405953623918
"ANXA13",-1.95758464435306
"ANXA2",0.42332823052869
"ANXA3",1.09729323809516
"ANXA4",-0.15794712771946
"ANXA5",-0.0723086280172153
"ANXA6",-0.678010617580582
"ANXA7",-0.18367366786707
"ANXA8",0.365340500124697
"ANXA8L1",0.365340500124697
"ANXA9",1.33627712077871
"AOAH",-3.41118825056921
"AOC1",0.255430964203553
"AOX1",NA
"AP1AR",-0.125416240521925
"AP1B1",0.650431167688083
"AP1G1",0.304602531676061
"AP1G2",1.0892066746586
"AP1M1",-0.491682619135216
"AP1M2",1.73320665027062
"AP1S1",0.59281705424961
"AP1S2",-0.659359109008606
"AP1S3",0.165116837747486
"AP2A1",0.0974440978571811
"AP2A2",-0.524419564884598
"AP2B1",0.0392432505359818
"AP2M1",-0.0114099553960595
"AP2S1",-0.15252130870034
"AP3B1",0.126256028170885
"AP3B2",NA
"AP3D1",-0.0224704872887956
"AP3M1",-0.027655790966013
"AP3M2",0.251031739000968
"AP3S1",-0.255623693455346
"AP3S2",-0.148844084476568
"AP4B1",-0.488259143849199
"AP4E1",-0.291052983378885
"AP4M1",-0.321668125814905
"AP4S1",-0.122110291747363
"AP5B1",0.0412835473240138
"AP5M1",-0.0335471095612427
"AP5S1",-0.28079134124789
"AP5Z1",0.125473094132867
"APAF1",0.0899834586330554
"APBA1",0.156914640726043
"APBA2",-1.12499829979232
"APBA3",0.279004888358849
"APBB1",-0.155895768813599
"APBB1IP",0.442360901474431
"APBB2",-0.254264310195365
"APC",0.289238473149491
"APC2",-0.108497798241317
"APCDD1",NA
"APEH",0.0870008960903467
"APEX1",-0.0951119680370875
"APEX2",0.151577774872907
"APH1A",0.138802988317538
"APH1B",1.03417080082906
"API5",-0.098987190704068
"APIP",-0.253160805228969
"APLF",-0.735183788317114
"APLP1",0.508958922586671
"APLP2",0.313278225993961
"APMAP",0.733547166904927
"APOA1",0.177045428128131
"APOA2",-0.591106559069212
"APOA4",NA
"APOB",-0.114649688645124
"APOBEC2",NA
"APOBEC3A",1.15449211712265
"APOBEC3B",1.98999522333548
"APOBEC3C",0.734505357733091
"APOBEC3D",-0.0816563305838174
"APOBEC3F",0.60360736815829
"APOBEC3G",-0.751911115552926
"APOBR",-0.00171609886062146
"APOC1",0.0705789544637798
"APOC2",0.0650902777032515
"APOC3",0.70689304399076
"APOD",1.00821200987475
"APOE",0.75740301739614
"APOH",-0.353064953996398
"APOL1",0.861844538820965
"APOL2",0.505342909470629
"APOL3",0.505342909470629
"APOL6",1.1485511970131
"APOM",-0.193809851453214
"APOO",-0.562379995564816
"APOOL",-0.69066555153784
"APOPT1",NA
"APP",0.32336180067836
"APPBP2",0.103235434934781
"APPL1",-0.198907827249588
"APPL2",0.313278225993961
"APRT",-0.000646720547578472
"APTX",0.0418463146681322
"AQP1",0.513685504276857
"AQP3",1.8830309583224
"AQP5",NA
"AQR",-0.0681153640213349
"AR",0.727480336764934
"ARAF",-0.0646279875766957
"ARAP1",0.118824901873678
"ARAP2",-0.664599080225218
"ARAP3",0.785736103411945
"ARC",0.724121442616687
"ARCN1",0.0318194993984456
"AREG",1.93338950121103
"AREL1",0.175020252119576
"ARF3",0.258611326131764
"ARF4",0.357084338407396
"ARF5",0.451682351866469
"ARF6",0.50289599613144
"ARFGAP1",0.0473502584174201
"ARFGAP2",0.158358265807608
"ARFGAP3",0.0473502584174201
"ARFGEF1",0.631020564591168
"ARFGEF2",0.406612608948956
"ARFGEF3",0.177434783266677
"ARFIP1",0.496432820041315
"ARFIP2",0.309845923434848
"ARFRP1",0.194793171460209
"ARG1",1.2116575573235
"ARG2",0.459821381310701
"ARGLU1",-0.261338080045231
"ARHGAP1",0.336166422414057
"ARHGAP10",0.328460840278592
"ARHGAP11A",0.253262995464386
"ARHGAP12",0.235593397368935
"ARHGAP15",0.370970654939255
"ARHGAP17",-0.704487522501615
"ARHGAP18",-0.301767782250677
"ARHGAP19",NA
"ARHGAP21",0.328460840278592
"ARHGAP22",-1.25344607624864
"ARHGAP23",-1.81384629480498
"ARHGAP24",-0.612696979557355
"ARHGAP25",0.225561607509328
"ARHGAP26",0.0751908439030397
"ARHGAP27",0.853446242390305
"ARHGAP28",0.819119879536021
"ARHGAP29",0.718782064869135
"ARHGAP30",NA
"ARHGAP31",-0.605608647451319
"ARHGAP32",0.676714656505847
"ARHGAP35",0.4691691053356
"ARHGAP36",NA
"ARHGAP39",-0.0444878130710283
"ARHGAP4",-1.73352327040744
"ARHGAP42",0.3594852234416
"ARHGAP45",0.691068403322672
"ARHGAP5",0.206968546792544
"ARHGAP6",2.05211475322262
"ARHGAP8",0.996602296640112
"ARHGAP9",NA
"ARHGDIA",-0.0148691714582488
"ARHGDIB",2.30691204718206
"ARHGEF1",-0.565434561096509
"ARHGEF10",-0.741783753776483
"ARHGEF10L",1.44034775270465
"ARHGEF11",-0.56426142179974
"ARHGEF12",0.195625041541953
"ARHGEF16",0.680413328324835
"ARHGEF17",0.133951868351969
"ARHGEF18",0.254174249779658
"ARHGEF2",-0.452556149353937
"ARHGEF26",0.631152416135375
"ARHGEF28",-0.539176912271815
"ARHGEF3",NA
"ARHGEF35",NA
"ARHGEF37",0.288006022106376
"ARHGEF38",-0.194884297430543
"ARHGEF39",0.80379957372068
"ARHGEF4",-7.31224869599351
"ARHGEF40",-0.448585357336557
"ARHGEF5",0.74583894147298
"ARHGEF6",0.219263283713167
"ARHGEF7",0.00913035735974016
"ARID1A",0.40134805105328
"ARID1B",-0.321695869981066
"ARID2",-0.135565901643324
"ARID3A",-0.080857059078041
"ARID3B",0.588714380668604
"ARID4A",-0.480555046329627
"ARID4B",0.0217012207810057
"ARID5A",NA
"ARID5B",1.07243273283531
"ARIH1",-0.256253810040796
"ARIH2",0.0818200052437662
"ARL1",-0.214923494796043
"ARL10",NA
"ARL13B",0.288825686961019
"ARL14EP",-0.279017361466494
