"Gene","Log2FC"
"A1CF",-0.878706018474742
"A2M",1.15608748643816
"A4GALT",-0.0988857133336909
"A4GNT",-0.014621310295249
"AAAS",-1.33696640162136
"AACS",-0.168473355262499
"AADAC",-6.12320605950847
"AAGAB",-0.708258338774981
"AAK1",0.158066788343271
"AAMDC",0.440407759209181
"AAMP",0.0709419651860603
"AANAT",0.43508070321215
"AAR2",0.178590328466097
"AARS",-0.257526983069926
"AASDHPPT",0.114043526340535
"AASS",-0.859779988219253
"AATF",-0.600770036897385
"AATK",-0.300070794072499
"ABAT",2.01808735579684
"ABCA1",0.0705751544157503
"ABCA11P",0.954750094323349
"ABCA12",1.52713231972229
"ABCA2",0.060792460658276
"ABCA3",-1.50433556948075
"ABCA4",1.24710132681883
"ABCA5",-0.920346787752724
"ABCA6",-0.228698075463809
"ABCA7",0.442529172871852
"ABCA8",-1.2862781971938
"ABCB1",-1.1708819246287
"ABCB11",0.634298829869136
"ABCB4",0.10120775397955
"ABCB4///ABCB1",-0.944665131729453
"ABCB6",-1.94830066833565
"ABCB7",-0.703014475665947
"ABCB8",-0.248147872216927
"ABCB8///ASIC3",-0.432468309325297
"ABCB9",0.356021496145663
"ABCC1",-0.614464256633108
"ABCC10",0.0155148825753197
"ABCC2",-4.95621522100665
"ABCC3",-0.761364167229518
"ABCC4",-2.10799205962833
"ABCC5",0.330100526897189
"ABCC8",-0.578922631898801
"ABCC9",-0.433568594106598
"ABCD1",1.04399768681198
"ABCD2",-0.384639374418329
"ABCD3",0.243679265459251
"ABCD4",-0.488705874561105
"ABCE1",0.0474664421370374
"ABCF1",0.297754469174892
"ABCF2",-0.124579490377982
"ABCF3",0.190576277662114
"ABCG1",-0.719976342062395
"ABCG2",-1.36853065801475
"ABCG4",-0.151729436644407
"ABCG5",-0.250989132345147
"ABHD10",0.0347704129483883
"ABHD11",0.760678070238573
"ABHD14A-ACY1///ACY1",-0.0645308342442288
"ABHD14A///ACY1",0.0483735246779471
"ABHD17A",-0.0137443849513126
"ABHD17B",-0.427007843588495
"ABHD18",-0.222413360971291
"ABHD2",-0.00381910753506749
"ABHD3",0.0669137277911807
"ABHD4",-0.953524009051256
"ABHD5",0.697752941144034
"ABHD6",-0.295659367988897
"ABHD8",2.48885009579004
"ABI1",0.0751033273122917
"ABI2",-0.221212619389837
"ABI3BP",0.0931202137837315
"ABL1",-0.58563318310328
"ABL2",0.0603883987428668
"ABLIM1",-0.13044525848868
"ABLIM3",2.9769373887742
