"Metabolite","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"thymine",0.0567070458333356,5.82608264,0.435168529144086,0.667547211221843,0.874573158921392,-5.86453952545491,FALSE
"thyroxine",-0.00779467083333074,5.84891036,-0.0887276311573097,0.930076081888921,0.979883583871828,-5.95265296744589,FALSE
"trimethylamine.N.oxide",0.199691975000002,5.737226435,1.29061805968656,0.209819861764208,0.745712943765681,-5.17436698469108,FALSE
"tryptophan",0.00439269166666723,5.841090565,0.0312539852238635,0.975340004208567,0.986327843853534,-5.95601548193191,FALSE
"tyrosine",0.121640591666667,5.90813598,1.12141827834396,0.27382644043314,0.767896083722976,-5.36059638526128,FALSE
"UDP.galactose.UDP.glucose",-0.0511230458333332,5.96889551,-0.505250572919549,0.618250600416914,0.868205045642314,-5.83272760819994,FALSE
"UMP",0.0627405083333343,5.85299338,0.713036091691152,0.483085543170412,0.829727077964448,-5.71143891048887,FALSE
"uracil",0.00209480833333853,5.873511835,0.017325999109122,0.986327843853534,0.986327843853534,-5.95634547403144,FALSE
"urate",0.148778220833335,5.71044677,0.625461806490716,0.537902351509871,0.86223273457461,-5.76742560172371,FALSE
"uridine",-0.00660626249999652,6.01922288,-0.0472757347977142,0.96270669880437,0.986327843853534,-5.95540188649181,FALSE
"valerylcarnitine.isovalerylcarnitine.2.methylbutyroylcarnitine",0.094920475000003,5.862197485,0.433749200151871,0.668562592597686,0.874573158921392,-5.86513573829585,FALSE
"valine",0.216623583333336,5.913222025,1.72256051080979,0.098559044805742,0.667266274239756,-4.60203174444328,FALSE
"X1.methylnicotinamide",0.380228920833334,6.42159089,0.782426272606404,0.442045507662669,0.795681913792805,-5.6621262517335,FALSE
"X2.aminoadipate",-0.148857954166664,5.79609929,-1.42148225368757,0.168762657322737,0.722065706826601,-5.01510542468487,FALSE
"X2.deoxyadenosine",-0.258411383333331,5.86663892,-1.05340587862235,0.303232931812462,0.767896083722976,-5.42893065497974,FALSE
"X2.deoxycytidine",-0.872290891666666,5.40508224,-3.19078120301735,0.00411015208102516,0.208596206175729,-1.90946896966982,FALSE
"X2.hydroxyglutarate",0.113030700000001,5.851885945,0.732315441781785,0.471465941828107,0.822324317142047,-5.69817393474358,FALSE
"X3.methyladipate.pimelate",0.0389818500000025,5.81424546,0.447219973926596,0.658951986447095,0.874573158921392,-5.85940005230971,FALSE
"X3.phosphoglycerate",0.0838171791666689,6.03914502,0.939111792809672,0.357553757463398,0.767896083722976,-5.53503092288936,FALSE
"X4.pyridoxate",0.132790212500002,5.75700879,1.08632669394618,0.288729505371174,0.767896083722976,-5.39633135339197,FALSE
"X5.adenosylhomocysteine",0.151265704166669,5.767066385,1.00596396448026,0.325030298319118,0.767896083722976,-5.47431576794626,FALSE
"X5.HIAA",-0.0473472458333308,5.781912465,-0.558714912782623,0.581823379352357,0.868205045642314,-5.80534875512554,FALSE
"X6.phosphogluconate",0.126974662500001,5.97727331,0.695328783420349,0.49390244151901,0.835549243171258,-5.72332489546945,FALSE
"xanthine",-0.139633316666665,5.87685646,-1.40885813481206,0.172420704861735,0.722065706826601,-5.0310276345838,FALSE
"xanthosine",0.0225466583333356,5.921166345,0.25324534989224,0.802356732250131,0.910438675461403,-5.92525978520417,FALSE
